,approach,student_id,student_name,student_params,student_acc,student_type,max_dist_delta,min_dist_delta,mean_dist_delta,std_dist_delta,q25_dist_delta,q75_dist_delta,pos_dist_delta,max_k_gain,min_k_gain,mean_k_gain,std_k_gain,q25_k_gain,q75_k_gain,max_k_loss,min_k_loss,mean_k_loss,std_k_loss,q25_k_loss,q75_k_loss
11,KL_Dist,130,resnetv2_50x1_bit_distilled,25.55,81.218,cnn,0.24600000000000932,-5.563999999999993,-0.7410999999999923,1.44807533989085,-0.6709999999999923,0.025000000000009237,30.0,2.618,1.27,1.8057999999999996,0.41843561033927307,1.4915,2.173,8.182,1.16,2.5469,1.8063071139759153,1.5855000000000001,2.8440000000000003
12,KL_Dist,48,gluon_resnet34_v1b,21.8,72.56,cnn,0.0379999999999967,-2.4920000000000044,-0.8634999999999977,0.6917435579750625,-1.381499999999992,-0.1890000000000036,5.0,2.978,2.3040000000000003,2.6268000000000002,0.21639722733898417,2.4605,2.8025,5.47,2.284,3.4903000000000004,0.8832780479554556,2.6045,4.164999999999999
13,KL_Dist,214,mixer_l16_224,208.2,75.64800000000001,mlp,6.389999999999986,2.839999999999989,5.677199999999992,0.854648793364853,5.784999999999986,6.103999999999996,100.0,9.56,8.347999999999999,8.893999999999998,0.33346604024997817,8.705000000000002,9.0975,5.6160000000000005,2.32,3.2168000000000005,0.8130912371929733,2.779,3.4040000000000004
14,KL_Dist,2,mixer_b16_224_miil,59.88,80.16,mlp,0.2740000000000009,-4.994,-0.7353000000000008,1.2441976169403322,-0.8609999999999971,0.051499999999997215,35.0,2.12,1.138,1.4528999999999999,0.2811927986275609,1.2485,1.66,7.114,0.988,2.1881999999999997,1.4973011587519727,1.194,2.5845000000000002
15,KL_Dist,9,mixer_b16_224,59.88,76.288,mlp,2.2619999999999862,-1.8800000000000097,1.530099999999991,1.0236537451697232,1.5784999999999947,2.1229999999999905,90.0,5.312,4.212,4.8277,0.3102877857731432,4.6175,5.061,6.9879999999999995,2.062,3.2976,1.2170905635982887,2.481,3.5140000000000002
16,KL_Dist,77,resmlp_36_224,44.69,77.52,mlp,0.35999999999999943,-4.140000000000001,-0.48619999999999663,1.0419245462124416,-0.5579999999999998,0.06650000000000844,30.0,2.766,0.042,2.2133999999999996,0.5717398359393895,2.049,2.5445,6.906,0.055999999999999994,2.6995999999999993,1.372551434373226,1.8395,3.0685000000000002
17,KL_Dist,258,resmlp_24_224,30.02,79.168,mlp,0.4920000000000044,-3.798000000000002,-0.2738000000000021,1.0208339531970896,-0.40000000000000213,0.2989999999999995,60.0,2.812,1.274,2.0534999999999997,0.42120820267416437,1.7525,2.416,6.61,1.072,2.3273,1.3457970537937731,1.3864999999999998,2.8335
18,KL_Dist,160,resmlp_24_distilled_224,30.02,80.186,mlp,0.4319999999999879,-4.116000000000014,-0.45020000000001303,1.0820569116271104,-0.6045000000000158,0.23299999999998633,50.0,2.388,0.8500000000000001,1.6378,0.39995494746283605,1.2885,1.9295,6.504,0.7779999999999999,2.088,1.3774033541414077,1.1284999999999998,2.6155
19,KL_Dist,72,resmlp_12_224,15.35,76.378,mlp,0.25199999999999534,-2.945999999999998,-0.34830000000000394,0.7023082727691582,-0.4265000000000079,0.09699999999999775,30.0,3.2779999999999996,1.804,2.6635,0.3825665301617484,2.405,2.98,5.714,1.552,3.0118,0.8705699052919301,2.566,3.324
20,XEKL_Dist,41,xcit_large_24_p16_224,189.1,82.274,transformer,0.6859999999999928,-3.4879999999999995,-0.280599999999999,1.0130571750893427,-0.6189999999999962,0.5105000000000004,50.0,3.496,2.334,3.0195999999999996,0.30627216654472533,2.8735,3.2814999999999994,6.92,1.804,3.3002000000000002,1.2529687785415882,2.2609999999999997,3.884
21,XEKL_Dist,7,vit_base_patch16_224,86.57,81.796,transformer,0.1919999999999931,-4.516000000000005,-0.6944000000000046,1.1467951168364832,-0.6585000000000072,0.036999999999999034,35.0,2.46,1.588,2.1386000000000003,0.18377388280166473,2.0435,2.1935000000000002,6.976,1.916,2.8329999999999997,1.2636549370773655,1.9989999999999999,2.8609999999999998
22,XEKL_Dist,5,pit_b_224,73.76,80.878,transformer,1.2879999999999967,-3.234000000000009,0.18689999999999998,1.1008137853424642,-0.050500000000003084,0.9939999999999998,75.0,3.5900000000000003,2.094,3.0373,0.40106322444223186,2.8425,3.3595,6.686,1.194,2.8503999999999996,1.360858493745768,1.8,3.5134999999999996
23,XEKL_Dist,46,vit_relpos_medium_patch16_224,38.75,80.49,transformer,0.3539999999999992,-4.10199999999999,-0.4928999999999931,1.0868244522460835,-0.6779999999999866,0.27850000000000463,40.0,2.59,1.152,1.8963,0.41341614627394513,1.645,2.2344999999999997,6.691999999999999,0.8540000000000001,2.3891999999999998,1.4309277270358556,1.4024999999999999,2.922
